Country,Component 1,Component 2,Component 3,cluster
BDI,-1.0580897402480614,-0.36016630973794006,-0.18498349807106146,5
BFA,-1.1775644417487423,0.3673052462430382,0.006230645906011126,5
BGD,-0.4951381108488808,-0.2628280358409043,-0.5765380858423849,4
BHR,0.9542079467262058,-0.29940399498477005,-0.2169023160700921,1
BHS,0.6575779025720595,-1.4336699364561256,0.11442376714597867,8
BLZ,1.1080043296720519,-1.5290436468209596,0.010737351677839374,8
BOL,-1.7838558906937925,-0.8203002003418541,0.23005267779809943,0
BRA,-1.1755976066809626,0.5261074316836326,0.13342085682631552,5
BRB,-0.18167618667769103,-2.496391110628746,1.188700425039061,6
BRN,1.7209601669973753,0.6109298879006845,-0.12806554610109314,3
BTN,1.1217278648196556,-0.7707788392979013,-0.07455930173443107,1
BWA,0.9928700016137285,0.38925752554043885,-0.14980691926784395,1
CAF,-0.2943099806213201,0.4674674008158024,-0.5620569025414044,4
CHL,-0.23585025489121475,-0.07995470288058219,-0.7538696361385874,4
CHN,2.48148917908474,1.862642109670824,0.9785848976181127,7
CIV,-1.5111863874868618,0.050985322368915016,0.12293983859253824,5
CMR,-1.5107375800392973,-0.013842282209822575,0.10314763563859192,5
COD,3.73533991170938,1.1027437594701153,1.18770037310761,7
COL,-1.6246852655884831,-0.2354627522599697,0.19316715733847234,0
CPV,1.2035598196449155,-0.4787357688284868,-0.1486689178880433,1
CRI,1.4208789947083695,-0.08925437153996464,-0.176404602270622,1
DMA,1.156632579394815,-1.0474340271005125,-0.08582021138375467,8
DOM,0.7071378180636636,0.5535812821352848,-0.35327485259382113,4
DZA,-1.015133826225126,0.20299730563344817,-0.12337261727616221,5
ECU,-1.0669898602632881,0.9353809020529468,0.20463109838991694,2
EGY,-1.3670996221317238,0.45247101428927133,0.17518531730013118,5
FJI,0.8522454084302971,-0.8496700468467429,-0.0778333814529629,1
GAB,-0.7919811003306533,-1.5154030402706937,0.7387164358570031,6
GHA,-0.896278397469946,0.9926230312575156,0.09736701265032051,2
GMB,-1.2520374676837245,-0.47378993426313065,-0.08230547313042227,0
GNQ,-0.60549973613099,0.9402547910087069,-0.23855273193662171,2
GRD,1.1409390485137807,-1.3431602985836317,-0.12541160919929148,8
GTM,-0.636924742132964,0.26984237471308253,-0.36433989108586434,4
HKG,1.8720446476781103,0.7274359719653027,-0.10760277553890796,3
HND,-1.1281757415503746,1.6385045612265778,0.8782059705711799,2
HTI,2.8379003054315417,0.05349588094416244,0.22772238801742228,3
IND,2.29537503431745,1.1650722995230778,0.2078091700099007,3
IRN,-1.3441251356263573,0.32728058846646224,0.09684788753457414,5
JAM,-0.9105615676614464,0.23771855466032796,-0.19188171859646536,5
JOR,0.3442171578663848,0.7300346880723123,-0.5562368409237443,4
KEN,-1.6800359585213134,-0.08889121150183428,0.12935815372542606,0
KNA,1.974403935299387,-0.27688088338049166,-0.17513742886121558,3
KOR,-0.5714921271329406,0.9280098594888576,-0.2774782913664542,2
KWT,1.2731565844887882,-1.012714126616944,-0.14258004456064385,8
LBY,-0.032043288008577496,0.7494506982248533,-0.6361287454165896,4
LCA,0.9203025634408273,-1.0943692007633607,-0.029826635835397537,8
LKA,2.190980606322231,0.14604447962050435,-0.11553882138182121,3
LSO,1.5650027719184085,0.5235272111973723,-0.12863235191433275,3
MAR,-0.578890066368509,0.5400635585597436,-0.31554062862043913,4
MDG,-0.6678436145309767,0.3997189717982168,-0.31851031938101904,4
MDV,1.2352392606094516,-0.6074984098873194,-0.09649077420816962,1
MEX,-1.5131974524868783,-0.7476710542281619,0.07067993654719344,0
MMR,0.3538434182632458,0.8994425214582966,-0.7746026821225063,4
MRT,-0.20586239628294392,-0.220698425766602,-0.7016075976327592,4
MUS,0.8454711830945684,-1.2495306670827246,0.005127815072445228,8
MWI,-2.030991670210522,-0.21830618918867944,0.10775186306904555,0
MYS,-1.1907030594525578,0.16981245987119697,-0.027867758362480795,5
NER,-1.505516589326854,0.3942327079845898,0.24049869842428045,5
NGA,-1.6675401999889907,-0.25193671901079395,0.19090574528058185,0
NPL,-1.2408633077758024,0.35323054235979756,0.0543785303405678,5
PAK,-2.116993247450625,-0.6845290700124786,0.13332476229550777,0
PAN,-0.20177338875279027,-1.6002043630421203,0.8724582310764927,6
PER,-1.2424444994784682,-0.15681972009307443,-0.10296265309400356,5
PHL,-2.992740647378208,-1.0772899866117456,-0.06402720155968276,0
PNG,0.29985375702759964,2.6219180579138,0.5658231113344107,9
PRY,0.6335524359780623,0.6162449567834197,-0.4243236151728653,4
QAT,0.5196593521244192,-0.49772433845116404,-0.2953306742621848,1
RWA,-1.2016517828308428,0.6937139196069005,0.19809691243914873,5
SAU,-1.4685096144320522,0.19637773199691783,0.1314855014869766,5
SEN,-0.20205425611667255,0.8178407660010852,-0.5782698682901198,4
