Country,Best Alpha,Population_Coeff,Inflation_Coeff,Import_Coeff,Export_Coeff,Test_Score,Export_GDP_Correlation
ABW,0.001,0.0017786610477292836,-0.030444876128648986,0.0004237348599848265,-0.00018952707192213238,0.2503737212705405,0.2899102400609358
AGO,1.0,0.002288403372610138,-0.0002036148287377963,0.021915737064605,0.022260596070589292,0.9550841158239529,0.9674780841885269
ALB,0.001,-0.0007408110397466103,-0.003776283879590658,0.0036831627219017075,8.80832912852056e-06,0.9835728068059127,0.9455737218132383
ARM,0.1,-1.4653464380547395e-05,-0.0003302836476145672,0.0028162386423344426,0.0008060929766930333,0.9485738255191926,0.8976350094450789
ATG,5.0,2.1936218750583703e-08,-8.952915757644035e-08,0.00015634477265935004,-3.339895326909451e-05,0.4138031492597829,-0.0882377814564643
AUS,0.001,0.9748538849709729,-0.624284859279968,0.4180476208921426,0.05428001028689685,0.9576187462928332,0.9730520241612566
AUT,1.0,0.0003426754495723482,-0.0002835237078731456,0.08885943462871433,0.032789727098010556,0.9518354291085167,0.9801789757526187
AZE,1.0,7.444013232095215e-05,-0.0004400041871692816,0.008561115282751663,0.019008607720209403,0.8996391314688074,0.9541781955630184
BDI,1.0,2.464632207209344e-05,-1.0761572813275271e-05,0.0007052326742067448,0.00017756397241915536,0.8972233116034214,0.7331869363512239
BEL,1.0,0.0008349256030022299,-0.0004957763984308387,0.112160350425715,0.04118235820128583,0.9441736100311874,0.9838792692311864
BEN,0.001,0.05179259720842066,-0.005851528574778054,0.003301395197723306,-0.001974520918972662,0.9361431079071478,0.9424998190841855
BFA,0.001,0.021534048600060512,-0.003132633768587989,0.0020562686020778064,0.0029996058584267327,0.9621960866395752,0.9652707058506599
BGD,0.001,-0.029792132659235113,-0.3031335969088815,0.11563236982955101,-0.10086596365940186,0.7851373983298416,0.9433837856464402
BGR,0.001,-0.020573365344218688,-0.0006333709222545767,0.010212753916235539,0.019569048275409694,0.9558642460428654,0.9802199208549874
BHR,0.001,0.05618971766863756,-0.06204285528641306,0.007375633774372062,0.014521033597979459,0.9157100531381289,0.9567547015697284
BHS,0.001,0.005965352426942848,-0.060647869728353454,0.003910216758136573,-0.0022988898750379563,0.8231725930472837,-0.572004426769476
BLR,5.0,-2.8333104009896034e-05,-0.0017721879863408676,0.012671606977703436,0.004473526039164871,0.928738556748244,0.9614819589323294
BLZ,0.001,0.00019917973383930306,-0.0021869629617184373,0.000891676243469897,-0.0002697510899741827,0.9790717315253812,0.9050674199456373
BOL,0.01,0.009993079225685642,2.4763089653091144e-05,0.016755032370828628,-0.010723041889059195,0.9789067558294918,0.9242033923078328
BRA,10.0,0.07358909529032474,-0.02399052488618994,0.4200088342250117,0.15341539225203796,0.8522630716873267,0.9478617650305008
BRB,1.0,4.361270973370778e-07,-5.104339131989353e-05,0.0016269921156451038,0.0004861433894220089,0.8471806591067901,0.8279296806413446
BRN,50.0,5.930572134427532e-07,-1.2568055449799055e-06,0.0009143678285743007,0.0006515229496476691,0.5051207943439163,0.9616105765492691
BTN,0.01,2.6401967806297326e-05,-0.0009593424307507142,0.0007571569491188849,0.0002359676560550914,0.9696673251660195,0.9459017676228513
BWA,0.001,0.02963875869157828,-0.034863649144014575,0.0031284904377420794,0.004979040511273506,0.9054170086017477,0.9453759808655651
CAF,0.001,0.006121575049614204,-0.001489137638095564,0.0003257908295569833,0.0002954086972786741,0.8770623473122652,0.4213941627084104
CAN,1.0,0.01882005890008941,-0.0006272728773413973,0.5348796954752834,0.16945528394318599,0.9977983165732237,0.9714250370163527
CHL,0.001,0.5805995600348103,0.015382531178244459,0.06437181429745206,0.015377826083077835,0.9922010737010198,0.9755726340055422
CHN,0.001,-0.4860818086223869,1.915258211505335,-1.6770938665593027,17.599898023190267,0.8502464078807663,0.977363995140163
CIV,0.001,0.1342335951312916,-0.021663921801811967,0.009949730969978077,-0.0010081471698814366,0.9375369591198752,0.9441421184079836
CMR,0.002,0.12018185350596845,-0.01432072183990838,0.007134126216298615,-0.005290293931591578,0.9263991057734284,0.8605522433563915
COD,0.001,0.005114790433967785,-2.263103762393105e-05,0.003746524960856203,0.022461561820468497,0.9587969115955786,0.9352669422684348
COG,1.0,0.0003006637496924565,-4.9328509116343037e-05,0.0021692021657581536,0.006494830884892421,0.7767019416448893,0.909816429911114
COL,0.004,0.1410482501362397,-0.00625867063160382,0.07196222669499754,0.07213858273021706,0.9880589871060046,0.9799932358705478
CPV,5.0,1.917326159996815e-07,-2.9739144815600666e-06,0.00046393024320730974,0.00016129897131159822,0.9764331512162846,0.9249018888568616
