Country,Population_Coeff,Inflation_Coeff,Import_Coeff,Export_Coeff,Test_Score,Export_GDP_Correlation
ABW,2.4253442653350657e-06,-5.243231766805768e-05,0.0002570430442924095,-8.29526459072267e-05,-1.5693368461536,0.23882465307963238
AFG,0.00041639947325479323,-0.00019598026443164932,0.00605112319401263,0.0022948327287182512,0.9677447940435538,0.7743299840494388
AGO,0.002053249337166101,-0.00017078145264632993,0.029455257908553908,0.017732728025197535,0.8803828407396795,0.9739469482020253
ALB,-4.403280196260477e-05,0.0023041982010803836,0.002620710386171796,0.001598178052186784,0.9233606505133116,0.9440660937773493
ARE,0.004406328936600412,-0.005586128959904767,0.11159184277389414,0.060561950190653364,0.9572764177592331,0.989295341898482
ARM,-8.273889100710543e-07,0.00015887185903067026,0.002960432479925265,0.0010772452078280654,0.985323353874612,0.9164403246412203
ATG,2.4666437944758403e-07,-1.007746753464189e-06,0.00047999465723396584,2.4195075896414036e-05,0.9356714236518934,0.35059343513386965
AUS,0.010159198107168864,0.01171424634018854,0.3042086718397746,0.17392184458909485,0.9313759748349238,0.9664322916789977
AUT,0.00047042393091505937,0.0002722216656205941,0.09630973001449183,0.03657509221954081,0.9719348271131654,0.989501524425874
AZE,2.5116402477814858e-05,0.0009999097319198275,0.010293928014036228,0.016415095256543614,0.8312528426090129,0.9511114285387265
BDI,3.0127017224951603e-05,-1.2041956859832796e-05,0.0007917036807346305,0.00020036075076990288,0.8968487585867925,0.7331869363512035
BEL,0.0011454709650309763,0.00013144513893178722,0.11722506047460504,0.04568129130108785,0.9679820856960455,0.9889074221070399
BEN,0.00024180788654917844,-0.00026811758737281695,0.0032913788972562474,0.0014439410027437256,0.909378023411112,0.9566138478100464
BFA,0.0002393064004314608,-4.6415180850442405e-05,0.0033455063728893247,0.0024508580627760333,0.9435735769336269,0.96527070585066
BGD,-0.0009045721710011563,-0.0016009387960665173,0.08165911248931326,0.013824090013749537,0.9526639164737306,0.949460469407598
BGR,-1.5212799616909586e-05,-0.005750764490962454,0.007364499675550322,0.010088667874702353,0.762694018934034,0.8889188662580336
BHR,0.000126571727008226,-0.0001906026958230835,0.011153495200058783,0.008052871446243157,0.8900161073981039,0.9567547015697284
BHS,1.075140575116936e-05,-0.00012994373726906078,0.00391945908059452,-0.002399638588718774,0.7826274476030917,-0.5720044267694748
BIH,1.5681257192280708e-05,-6.0658071826382604e-05,0.004057877382117313,0.0025641527614049774,0.8993301789123886,0.9531809666509482
BLR,-6.23222279173501e-05,0.002033969947941701,0.015595000549439426,0.00471336776152027,0.9003541207755985,0.948863445433435
BLZ,1.124651085932325e-06,-1.1520974005709482e-05,0.000794808865973926,0.00016479423574593764,0.9693767755662966,0.9070645296556271
BOL,0.0003822734124802742,6.914286209059462e-06,0.012131249016575706,0.002176399031108554,0.9510059935180348,0.9242033923078321
BRA,0.11500085329610293,0.00727324757103318,0.6017770748553345,0.1333551743873752,0.9569559323946838,0.949194415695551
BRB,5.499745631405946e-07,-4.983009691741826e-05,0.0018782464780777984,0.0004082358955411036,0.8058684117331978,0.8059579462275968
BRN,3.390872314603537e-06,5.407351420932543e-05,0.00046725345889259183,0.006260091898427242,0.9533129126160927,0.9585773481993946
BTN,1.0609477409268116e-06,-1.3271059281319828e-05,0.0007837668650099834,0.0003200336985790693,0.9369233676641548,0.9470939426443582
BWA,6.785901916189108e-05,-0.00016507937303235107,0.004708176104937536,0.0027530659191060763,0.8868039847570522,0.9453759808655653
CAF,1.165418050479585e-05,-3.0344108696008736e-05,0.0004121060085307879,0.00025982762940203507,0.6452176692802416,0.4280357773861978
CAN,0.01700826506418126,0.011670440861004798,0.47876351433563613,0.15472215590659286,0.9395747157034045,0.9650928561189843
CHL,0.0030701538162582363,-0.0030495039464929962,0.07424709025182136,0.03147412235969789,0.9829180170037459,0.9755726340055417
