Country,Population_Coeff,Inflation_Coeff,Import_Coeff,Export_Coeff,Test_Score,Export_GDP_Correlation
ABW,854817296.9207146,56818765.78352554,106217910.88234334,-149228553.06629798,0.8998384292196882,0.2899102400609243
AGO,4733698557.797732,235719310.26072192,15614064166.746552,21902187217.40164,0.9503934094609441,0.9674780841885271
ALB,-1513142322.1915812,-54613972.227099076,2429351259.103399,804118414.0782045,0.9640913234180459,0.9455737218132384
ARM,-1629262779.1441855,192936311.96114376,2257348808.7955594,533896833.0268804,0.9372165149016918,0.8976350094450793
ATG,171381107.66945335,-9637569.236220503,119547158.58386026,9875609.815869581,0.9462517516256342,-0.08823778145647554
AUS,55435336617.67046,-16846570281.233822,269547884006.43826,116456530070.26321,0.9870962712900878,0.9730520241612566
AUT,7442723695.572786,-9772226124.575045,48648829145.37427,40429955323.50371,0.8906545942010737,0.9801789757526187
AZE,5591431145.990198,-2485749577.1936727,2151415663.365781,17668583500.98977,0.7976949693549794,0.9541781955630184
BDI,198841656.33996683,-25273628.536784593,433467441.45690936,101273700.59744455,0.8928251325632894,0.7331869363512139
BEL,22945213313.834023,-9249093387.253946,48869920451.88174,47063079959.12918,0.9398627290881393,0.9838792692311861
BEN,2730571529.403998,-141854291.51260966,1404353256.3539658,400589300.72050595,0.9783206482008562,0.9424998190841862
BFA,1347204800.879634,-61099155.20689005,2152660950.351099,1814208887.8817997,0.9702302842352791,0.96527070585066
BGD,-7004167014.88712,-5968491489.058669,81356135081.31265,31467934399.32146,0.8105614651399922,0.94338378564644
BGR,-6463305914.777395,-56422290.917754,7746314535.063955,7380459997.846751,0.9161574370848606,0.9802199208549878
BHR,7966626890.886853,83425474.61369675,1519920768.2997363,3604226197.9458194,0.9578781007475984,0.9567547015697283
BHS,3304817469.462476,-202249916.33375716,855696850.7385259,-592162473.6262817,0.936871667633319,-0.5720044267694749
BLR,-6395984539.268908,-2209518375.6690087,9858214818.262184,5548710492.902423,0.7666396297911605,0.9614819589323294
BLZ,411035252.32401854,-12394072.365606597,265437407.1220335,24061044.04258515,0.9907791826394631,0.9050674199456419
BOL,2994984977.692315,316209936.2759373,8783606348.833263,259610009.68787542,0.9314730921955969,0.9242033923078325
BRA,54537675460.81122,8422778527.436324,496694694084.14435,236262109080.58203,0.7316006297658425,0.9478617650305009
BRB,1022076877.8739574,-4336278.020648943,486268724.12174624,52866539.38198593,0.9866031698066362,0.8279296806413519
BRN,243642488.49304014,560967994.9657811,1320463886.836797,3341925582.683758,0.27315728939761286,0.961610576549269
BTN,130698916.98960559,-38526992.33341292,581171302.0278826,156517278.23059675,0.9686015433891024,0.9459017676228543
BWA,2577991302.0909433,-14477976.494079083,1790353088.1227467,1017884498.0686518,0.9663752052702216,0.9453759808655653
CAF,171538527.6557678,-42374884.8342537,300135578.505548,73572932.66596684,0.8860727227407945,0.4213941627084029
CAN,62833370632.21545,-32410960388.6023,221299468171.08118,188941742265.2565,0.9709889671829398,0.9714250370163531
CHL,24785934546.846657,3907891061.5481224,50285614503.06253,26169640474.12769,0.9879656245388162,0.9755726340055416
CHN,-54488135634.74733,86305577758.37762,2229565182208.0923,2987654140183.974,0.7974439806915945,0.9773639951401633
CIV,7333114052.462498,-420547721.88008386,7986424291.473076,2347809745.8274307,0.9250635356103538,0.9441421184079835
CMR,6789220574.477839,-240857046.44285285,5030200863.797329,-447114850.9694386,0.93479746206157,0.8605522433563908
COD,888247814.3802816,-306511748.4199685,3222961719.493978,4844363382.759348,0.9570785679349552,0.9352669422684348
COG,2282058611.015378,-324229981.3289439,341330686.84293914,2636540040.345218,0.7391437239062448,0.9098164299111139
COL,16860436828.706852,-244047747.65919986,57808540906.64383,43749327335.46067,0.9861430801566351,0.9799932358705475
CPV,89189220.16962352,10501390.628996387,465251960.3425371,234785561.06919804,0.9635756671841059,0.9249018888568606
CRI,2208485931.0476623,-186956219.44695184,11592023217.42923,6181748671.128035,0.8342828498728517,0.9392693833190806
CYP,3530243318.380188,-40916874.48152085,5085244347.399872,-2311122611.2109075,0.954164575577217,0.60307059504835
CZE,2923807499.7171736,-3617048475.2827454,37223697980.63349,29669850627.155346,0.9091411430501714,0.9778551681737158
DEU,22513212227.798107,-43733013538.58962,403404926539.81226,328331943085.08057,0.8060520515016437,0.972633787358947
DJI,448766297.33796096,-120845078.26180854,474551188.3052331,93996958.19176622,0.7934575769334815,0.8432795117044796
DMA,-20897392.45397012,-28618616.261547644,109584677.27081725,-16614636.31387367,0.9700864417069364,-0.4080548614861844
DNK,6982648274.267458,-1416832806.0429647,31553338247.298607,36838990563.98045,0.9846205743262144,0.9911032064501536
DOM,7630283385.800974,-1968193383.7794619,8341707707.512709,11085205123.90923,0.9593911209914296,0.9299070072355616
DZA,10199561685.496414,-3203307139.22062,43635699918.98734,14358427858.211983,0.9617899702068126,0.8550185415714603
ECU,8912528823.890215,-3586132649.7525177,9072297773.481781,13135959391.204508,0.9117854126034992,0.9642139366368241
EGY,36447238515.03556,-9949323958.03564,58886637426.224335,17509999874.909607,0.9016686436098464,0.9255420255420854
ESP,171306274562.52527,-9340098336.869062,203820869824.05502,-40157980174.64498,0.9281686472536814,0.9014393887684106
EST,-1403238990.496871,-205507185.52048007,4218158128.482914,4138456459.333004,0.942178436169382,0.9741396250999013
ETH,16768962514.770006,-1513039492.964994,10081327268.17803,3889988810.483975,0.8975972336529845,0.8891284600842825
FIN,16735315101.217638,-6865105132.5033455,29488664243.141846,17141016935.06163,0.9635305391846913,0.9054509947005503
FJI,211472326.47540152,-95163312.64465025,1123898539.1548226,-20736616.67984561,0.9449615140842955,0.9012778022042606
FRA,72668909149.27643,-47713591344.15464,264764915230.38107,223725957069.28882,0.9310667015720546,0.9763993530534547
FSM,8494336.467139477,-10519303.34096793,46307565.144273646,7932530.079218417,0.9287507905468041,0.7871910872229577
GAB,1706990962.958804,-116202867.02228265,2089724218.9239845,1891056005.4138381,0.9864614955554446,0.9047872712711783
GBR,23850499038.879333,-55435839260.4007,352023625969.2026,165930531662.7642,0.8965224245122714,0.9321395902388756
GEO,-975009395.4591999,-24469499.51353826,3888967056.4281826,1204849224.2824392,0.9491437666454474,0.9535802198364844
GHA,6932861486.871073,-160203097.63186336,-1283882663.7091696,17583214970.308117,0.9719111545320943,0.9743906646090362
GMB,328934364.0367015,-44491712.29231457,186094258.08176053,-40318361.12536043,0.8875286375200931,0.49299719031729716
GNB,224334731.50964844,81386116.15794632,174129932.71676934,40350942.33190867,0.8536603858978637,0.8736087109373369
GNQ,1781602442.5435517,-162079222.81581295,2649533706.809858,3819795788.930446,0.9858601569323939,0.9645294122978417
GRC,22233588594.21559,5840944245.569569,49915736176.10172,-3416506653.9111714,0.9689270101665225,0.4533803300775476
GRD,120253606.15126894,1736329.7355725132,206498476.065486,-1659697.3746609748,0.9710956065149186,-0.4419202506223187
GTM,4734758614.191511,-193300237.74522507,6371681857.825599,11912198323.645004,0.9037344905595179,0.9729122031820988
GUY,-407944485.5858871,-345592118.3202359,1116289157.5068686,894701006.1512035,0.7961007343948474,0.8659397570205819
HKG,35178751809.27263,248454850.3805883,25711285853.859257,39196636692.818596,0.9290899043836907,0.9765824725344769
HND,1428110383.5403037,-386021354.5507651,1259248422.6622093,4108307877.385079,0.9173032217674519,0.977163512520083
HRV,6049988869.680547,-3031440885.014149,12772509992.965448,5861301404.201342,0.9340022088341617,0.9085585486282157
HTI,2293569879.34671,-111209116.9759294,1031781308.4336476,2276844578.0634694,0.8958069981241431,0.9543080247515394
HUN,-1012175621.3968374,-1100384240.2493875,21547277754.81714,19306105656.00167,0.9220093675263129,0.9808946667021397
IDN,148168008816.78537,-36378466849.90789,83294809176.77628,52760912009.542465,0.9824082799977432,0.9070000337771461
IND,124692686319.96219,-69987834866.38515,240566595114.45572,477153405173.74677,0.957977718685986,0.9737312813095825
IRL,15814390866.084206,-6558440027.397994,56308579957.22862,45589787373.95911,0.9515238159946621,0.9782870885343421
IRN,-6085546738.3944645,-4719054373.150163,75208905013.58597,86825792645.99211,0.8045474897015692,0.9380697539442717
IRQ,14648493717.320925,1768410983.0615923,27386650100.68288,42412758502.709526,0.9828200015294323,0.9803546863098587
ISL,1914514847.351267,-245386119.4860228,4573150706.370766,-485112622.5409576,0.9515652758705181,0.8573929199139823
ISR,87519923384.08,7586309727.872209,44190921469.52526,-24678585208.961826,0.9100793575557427,0.7839625611037032
ITA,42005119771.40036,-9875214755.463095,295973186742.1465,46151366747.02121,0.9258316932760332,0.9281151760902302
JAM,2461778270.480872,-527061797.3162894,1895186684.360612,-80333271.27204135,0.9843861135628073,0.758183254908086
JOR,5607129155.076958,-552871274.5321219,7854060783.43305,355737309.1531059,0.9288829384228712,0.9496555491126313
JPN,-4374899292.402552,-162773331632.3757,265182338405.66803,152106738525.7404,-0.828082172930342,0.6330419562449832
