Country,Population_Coeff,Inflation_Coeff,Import_Coeff,Export_Coeff,Cluster
ABW,2.110374410132976e-06,-5.2341204581801e-05,0.0002810802723997,-0.0001183911445879,5
AGO,0.0022884033726101,-0.0002036148287377,0.021915737064605,0.0222605960705892,1
ALB,-3.2119429681866777e-06,-6.821916513382448e-05,0.0031935735161261,0.0009785227825935,0
ARM,-3.036228762294568e-06,-3.880736890417636e-05,0.0026867133215402,0.0009073124251746,0
ATG,7.793165947717693e-08,-1.4608097172818584e-08,0.0002917835190063,-7.434487487959008e-05,5
AUS,0.0092343945983044,-0.0009771404349131,0.3590713745705476,0.1617289791719352,0
AUT,0.0003426754495723,-0.0002835237078731,0.0888594346287143,0.0327897270980105,0
AZE,7.444013232095215e-05,-0.0004400041871692,0.0085611152827516,0.0190086077202094,4
BDI,2.464632207209344e-05,-1.0761572813275271e-05,0.0007052326742067,0.0001775639724191,2
BEL,0.0008349256030022,-0.0004957763984308,0.112160350425715,0.0411823582012858,0
BEN,0.0001255818973237,-0.0001262417238976,0.0029053539655343,0.0006757414853544,2
BFA,0.0002012433737721,-4.061858169524599e-05,0.0030050957540412,0.0021967625547555,6
BGD,-0.0015359029139999,-0.0005962730036115,0.0751726427821788,0.0130017938194586,2
BGR,-7.406423278700224e-05,-0.0006739650309296,0.014440607659963,0.0066005837582626,0
BHR,0.0001068913692289,-0.0001711320661743,0.0100419820794494,0.0071479679879549,6
BHS,9.140550544682545e-06,-0.0001168219983006,0.0034851586158204,-0.0022486559573907,5
BLR,-5.187073840056479e-05,-0.0035207777178992,0.0146999128211941,0.0044179406926115,0
BLZ,8.047976730722801e-07,-8.266566228299937e-06,0.0006967665257103,0.0001571801379259,2
BOL,0.0003177675188599,7.126866714834778e-06,0.0108769301648685,0.0017574059294966,2
BRA,0.1055204089851241,0.0027531753979432,0.5442001323121275,0.1908461237299225,2
BRB,4.361270973370778e-07,-5.104339131989353e-05,0.0016269921156451,0.000486143389422,0
BRN,-5.696229031154308e-07,7.06048871616828e-05,0.0014376394762617,0.0049768569554269,4
BTN,8.346294184578753e-07,-1.565624636141025e-05,0.0007079598104542,0.000280806499651,0
BWA,5.7544894253677845e-05,-0.0001477327624037,0.004227946951935,0.0024194574676452,6
CAF,1.1547696529307428e-05,-1.1182811139582455e-05,0.0003450099312032,0.0002552396343987,6
CAN,0.0188200589000894,-0.0006272728773413,0.5348796954752834,0.1694552839431859,0
CHL,0.0025881252657605,-0.0027008470405406,0.0666585811669824,0.027078818710602,0
CHN,0.0962362699279803,0.0290029911915353,3.2701104902182307,1.38294546616379,0
