Country,Population_Coeff,Inflation_Coeff,Import_Coeff,Export_Coeff,Cluster
ABW,897635337.4738898,51132239.08051351,115244568.78700653,-147639374.03585067,4
AGO,4634760525.42512,271155893.0484325,15383192048.823751,21693009535.34342,3
ALB,-1571332599.0534818,-60875974.11593266,2468346759.825006,863014324.9071736,10
ARM,-1745900521.8041856,111670159.9327206,2216074937.9152656,572191058.611592,10
ATG,169562589.1560185,-7571696.205303577,106450646.60617109,9263796.514982596,4
AUS,59528827909.55496,-15551810907.63236,276527499202.851,124324958519.24512,6
AUT,8309845033.547242,-9488945665.496616,49985199328.827,42375204851.16539,1
AZE,5456422612.698604,-1643381625.71635,2475277710.6301665,17974556029.06757,2
BDI,209731201.965802,-26930358.877449825,446094399.0689834,103637907.50914046,5
BEL,24063496478.986923,-8703801638.981068,50731939117.59281,48617530952.82192,1
BEN,2773221387.3290014,-160047233.18582204,1430395675.9828832,441855248.1220685,4
BFA,1407038210.0235288,-65492670.15083805,2230331578.289603,1902790458.1654155,9
BGD,-6839388672.272986,-5393143566.95023,83499342552.2603,35180008746.56567,6
BGR,-6754960667.042038,-65051614.94884536,8070782752.630931,7657612188.794252,10
BHR,8082062684.319466,84193734.31778829,1621220512.188105,3729592207.882015,8
BHS,3399665695.2274923,-221037522.54596227,893411108.4835315,-596221310.9819918,4
BLR,-6440377441.860414,-1315938654.8318658,10028979065.315624,5884644822.516774,10
BLZ,413413011.6251668,-10564540.219614029,262391220.5873423,26050699.214499,4
BOL,3136278284.8602734,353908378.76606447,8921749745.058159,455104900.5495896,0
BRA,54532633920.14044,7886121437.627959,497340061665.5845,239317088016.2447,6
BRB,1046677573.6142784,-7835741.0219214335,499367089.5135887,56877279.80984276,4
BRN,154268940.10638902,603992141.0140936,1104920788.40722,3362997334.936344,2
BTN,129705216.14607036,-40906617.53569469,577540722.1638279,152442674.09868237,6
BWA,2647396868.6946297,-21865126.63708122,1876562186.3907924,1096528166.00996,7
CAF,167822034.594504,-39541941.13370219,282026093.4719128,77995604.66771543,5
CAN,65979429294.56482,-34498005257.61692,224544971591.8168,193342495953.912,1
CHL,25478320955.23717,4017523401.301416,51407926124.156654,27877725206.109783,5
CHN,-29515325953.52713,95864049272.0144,2334165581887.984,3055756416324.7065,3
CIV,7483310581.636825,-454302295.8769185,8202303775.369418,2556832095.2970834,7
CMR,6974424290.963318,-259125114.078566,5153751186.275471,-402358363.74383897,4
COD,856764334.8369068,-337275790.6266344,3155072260.586948,4727826873.772455,3
COG,2381602602.1106305,-161548879.48724282,309723298.878528,2690228906.8881187,8
COL,17590189395.179653,-424000419.7113651,59911660573.23017,46118958770.84895,1
CPV,78834325.14618942,8462221.547905864,445174792.2918443,216169753.39653248,6
CRI,2365146166.2154603,-203856564.80298507,11842532586.05955,6484205797.277625,6
CYP,3558263986.999599,-47302671.10758988,5122045801.058868,-2388718223.821636,0
CZE,3377474478.630027,-3659275962.796418,38301039037.82079,30973754859.74985,1
DEU,24576277685.21937,-43746332469.05006,416996488637.4646,345432467294.97986,1
DJI,411262701.0201872,-82581302.75676325,473223045.3937919,127773388.63376336,7
DMA,-21214592.84718504,-29969959.03905396,113519256.29281752,-17209984.725592554,6
DNK,7438495511.944567,-1358577689.7843652,32733205771.484245,37684174531.01991,3
DOM,7844253285.162647,-2028098111.4492671,8609555330.666056,11417984914.906769,9
DZA,10737616066.416458,-3343555101.23324,45157222032.44151,14850268428.543713,6
ECU,9201987922.749218,-3618887040.4396186,9541192834.825104,13452256361.062351,9
EGY,37723113328.18193,-10419547424.3981,60158507646.76463,18986122417.92346,5
ESP,172481304429.0218,-9248679696.125387,206406201314.4806,-37527434205.00556,0
EST,-1444067725.037584,-143190630.2829231,4356782934.062261,4269606191.775479,3
ETH,17006303785.180054,-1525398552.796796,10305040138.089872,4063793774.709112,7
FIN,16956255696.485617,-6436121110.905479,29039056474.36791,17056540810.434072,5
FJI,220021255.2158067,-96480873.04594894,1140392022.4917607,-9058560.035005275,0
FRA,76781405380.38759,-42795650357.265335,269770401025.19305,231162034599.8174,1
FSM,8423517.09493591,-9503575.127548458,45458301.58496258,8124251.721703154,6
GAB,1764761719.3199332,-123769904.33878846,2148969452.439268,1939473642.6488104,9
GBR,26800291867.354446,-52459682631.30455,355451143704.06976,171736439143.05582,6
GEO,-953480921.7840168,4912313.414682734,3934920493.85034,1296694780.210836,10
GHA,7157488883.265772,-165686030.58685452,-1112553966.8774784,17838442666.694088,2
GMB,337057187.4196095,-47822130.64038263,190540358.50720388,-40634759.95819828,4
GNB,233425494.68728176,82756460.33198914,186055897.43178,46006765.17478168,4
GNQ,1738087722.0884106,-179313522.17469105,2651257130.858156,3831141032.237784,9
GRC,21634933690.629414,5496642127.120834,48295612943.12776,-4249321591.685928,0
GRD,122155625.94694886,1618285.4061804642,208644344.4868839,-1794136.6347560766,0
GTM,4949304942.692631,-219437601.2443356,6723936401.094017,12158434630.516668,2
GUY,-435857033.9397943,-321139894.0378117,1186189386.5623465,962390265.5836368,3
HKG,36481798929.70764,157642081.4465455,27559263533.282104,40512945447.80438,9
HND,1499017190.70106,-427429615.78725207,1388007054.9658504,4161945414.6269207,2
HRV,6094244794.851316,-2850212776.763462,13032981916.408434,5997283281.662476,5
HTI,2337713672.172981,-109205704.77345724,1056139266.8135936,2296221209.1101165,8
HUN,-1428217962.725031,-1019301026.8158544,21943424848.308678,19811864993.008904,3
IND,131374563664.13254,-70565923597.71706,258242483132.6111,485441815223.095,2
IRL,17343093575.324512,-6679244059.820991,58250969508.66835,47219022912.99267,1
IRN,-6514085535.941399,-4774890034.253289,75930348556.89311,87166163550.18701,3
IRQ,14944758551.276005,1939804688.4918764,27637783767.54336,43014693395.68764,2
