Country,Population_Coeff,Inflation_Coeff,Import_Coeff,Export_Coeff,Test_Score,Export_GDP_Correlation
ABW,897635337.4738898,51132239.08051351,115244568.78700653,-147639374.03585067,0.8997557065871663,0.2899102400609243
AGO,4634760525.42512,271155893.0484325,15383192048.823751,21693009535.34342,0.950911906238689,0.9674780841885271
ALB,-1571332599.0534818,-60875974.11593266,2468346759.825006,863014324.9071736,0.9627595334713541,0.9455737218132384
ARM,-1745900521.8041856,111670159.9327206,2216074937.9152656,572191058.611592,0.8318012078783771,0.8976350094450793
ATG,169562589.1560185,-7571696.205303577,106450646.60617109,9263796.514982596,0.9502310544327406,-0.08823778145647554
AUS,59528827909.554955,-15551810907.63236,276527499202.851,124324958519.24513,0.9875084392566433,0.9730520241612566
AUT,8309845033.547242,-9488945665.496616,49985199328.827,42375204851.16539,0.8913353412096882,0.9801789757526187
AZE,5456422612.698604,-1643381625.71635,2475277710.6301665,17974556029.06757,-6.272943981842199,0.9541781955630184
BDI,209731201.965802,-26930358.877449825,446094399.0689834,103637907.50914046,0.8927485679693037,0.7331869363512139
BEL,24063496478.986923,-8703801638.981068,50731939117.59281,48617530952.82192,0.9393916802649781,0.9838792692311861
BEN,2773221387.3290014,-160047233.18582204,1430395675.9828832,441855248.1220685,0.9781781917450724,0.9424998190841862
BFA,1407038210.0235288,-65492670.15083805,2230331578.289603,1902790458.1654153,0.9706095335789023,0.96527070585066
BGD,-6839388672.272986,-5393143566.95023,83499342552.2603,35180008746.56567,0.8081110142435399,0.94338378564644
BGR,-6754960667.042038,-65051614.94884536,8070782752.630931,7657612188.794252,0.9153479225075447,0.9802199208549878
BHR,8082062684.319466,84193734.31778829,1621220512.188105,3729592207.882015,0.9575429176074575,0.9567547015697283
BHS,3399665695.2274923,-221037522.54596227,893411108.4835315,-596221310.9819918,0.9364985968644757,-0.5720044267694749
BLR,-6440377441.860414,-1315938654.8318658,10028979065.315624,5884644822.516774,0.7160780541614324,0.9614819589323294
BLZ,413413011.6251668,-10564540.219614027,262391220.5873423,26050699.214499,0.9903188434309969,0.9050674199456419
BOL,3136278284.8602734,353908378.76606447,8921749745.058159,455104900.54958963,0.9293868965636631,0.9242033923078325
BRA,54532633920.14044,7886121437.627959,497340061665.58453,239317088016.2447,0.7299951000933188,0.9478617650305009
BRB,1046677573.6142784,-7835741.0219214335,499367089.5135887,56877279.80984276,0.9860929998705014,0.8279296806413519
BRN,154268940.10638902,603992141.0140936,1104920788.40722,3362997334.936344,0.20339922649667774,0.961610576549269
BTN,129705216.14607036,-40906617.53569469,577540722.1638279,152442674.09868237,0.9686025735950788,0.9459017676228543
BWA,2647396868.6946297,-21865126.63708122,1876562186.3907924,1096528166.00996,0.966213221514624,0.9453759808655653
CAF,167822034.594504,-39541941.13370219,282026093.4719128,77995604.66771543,0.8869058625477981,0.4213941627084029
CAN,65979429294.56482,-34498005257.61692,224544971591.8168,193342495953.91196,0.9714028353084362,0.9714250370163531
CHL,25478320955.237175,4017523401.3014164,51407926124.156654,27877725206.109783,0.9873903625836024,0.9755726340055416
CHN,-29515325953.527134,95864049272.01439,2334165581887.984,3055756416324.7065,0.7974067420264185,0.9773639951401633
CIV,7483310581.636825,-454302295.8769185,8202303775.369418,2556832095.2970834,0.9241321036992342,0.9441421184079835
CMR,6974424290.963318,-259125114.07856598,5153751186.275471,-402358363.74383897,0.9351596508407345,0.8605522433563908
COD,856764334.8369068,-337275790.62663436,3155072260.586948,4727826873.772455,0.9570010108242399,0.9352669422684348
COG,2381602602.1106305,-161548879.48724282,309723298.878528,2690228906.8881187,0.7373906973951475,0.9098164299111139
COL,17590189395.179653,-424000419.7113651,59911660573.23017,46118958770.848946,0.9858846271002916,0.9799932358705475
