Country,Population_Coeff,Inflation_Coeff,Import_Coeff,Export_Coeff,Cluster
BDI,-0.69113120711817,-0.8227690857013624,1.6787531725118703,-0.16485287969233792,3
BFA,1.4263029570846657,-1.394280599060989,-0.11879437313171896,0.0867720151080421,5
BGD,-0.22890362149914134,-0.4881955488459144,1.6723518206891277,-0.9552526503440719,6
BHR,0.31286553823837343,-1.6743084248129854,0.38742714835407044,0.9740157382205413,0
BHS,0.5132938776562136,-1.5518075509183478,1.1474158114524262,-0.10890213819029175,0
BLZ,-0.43275070458636883,-0.5769090929761408,1.7234759246465312,-0.7138161270840215,6
BOL,0.6257401549694602,-0.3973012638827656,1.1943119451186217,-1.4227508362053165,1
BRA,-0.47371891250741993,-1.1011207477890361,1.6007658551892225,-0.0259261948927666,3
BRB,-0.7626935406723083,-0.8399884740656931,1.6464513866305492,-0.043769371892548106,3
BRN,-0.9704959423905489,-0.9752139712785184,1.300117696809326,0.645592216859741,3
BTN,0.02523959279169023,-1.56913025228168,1.1875136334568657,0.3563770260331242,0
BWA,0.4998825600357948,-1.7074741861580442,0.3741106350067994,0.83348099111545,0
CAF,1.193089871026456,-1.5813488097675437,0.20994085363426754,0.17831808510682007,5
CHL,1.2670470474217534,-1.4936600869894456,0.375884688434101,-0.14927164886640884,5
CHN,-0.7028727480778002,-0.4754708634117461,-0.5478529355618829,1.7261965470514293,2
CIV,1.6586951853360843,-1.0230962136696646,-0.3154127175177177,-0.32018625414870167,5
CMR,1.6868917310841047,-0.8559300347314466,-0.21986465145165476,-0.6110970449010036,5
COD,-0.5097978128040906,-0.9408457035563371,-0.2240812769899062,1.6747247933503344,2
COL,1.0632366837801046,-1.6427249126403753,0.3289825647126785,0.2505056641475924,5
CPV,-0.8179900972404864,-0.834841729441039,1.6226586413938044,0.030173185287720658,3
CRI,-0.787692130086636,-0.9546711744791117,1.5604671933576943,0.18189611120805355,3
DMA,0.2881869381988115,-1.6417139192066228,1.0677277164739842,0.28579926453382687,0
DOM,0.18576063133957188,-1.6096645154548397,0.2872626439050984,1.1366412402101695,0
DZA,1.0877203640100388,-1.5857936761173317,0.5474359811093368,-0.04936266900204361,5
ECU,1.1776061424183173,-1.3947759350876419,-0.4589811812347359,0.6761509739040605,4
EGY,1.3780740436311307,-1.3379543248350403,0.37363123715305663,-0.4137509559491471,5
