Country,Component 1,Component 2,Component 3,cluster
BDI,17.219656,4.677003,10.044879,0
BFA,16.478518,3.5405862,9.47898,4
BGD,15.594325,5.1886563,9.210308,3
BHR,13.423327,7.477271,5.777756,5
BHS,13.8574915,8.840233,5.2858114,1
BLZ,13.42861,8.892151,5.6356688,1
BOL,18.314106,4.5620136,10.523607,0
BRA,16.10749,3.3682218,9.140265,3
BRB,13.982803,8.975569,5.664415,1
BRN,13.109376,6.3667607,7.435021,2
BTN,13.316961,7.971121,5.316845,5
BWA,14.029033,6.057257,7.7422624,2
CAF,15.040602,4.843723,8.8079605,3
CHL,15.28932,5.2610364,9.011379,3
CHN,12.847647,6.0492573,7.2049675,2
CIV,17.690786,3.8219092,10.243288,0
CMR,17.716309,3.820307,10.301221,0
COD,12.755397,6.2729883,6.9381766,2
COL,17.857561,4.1726723,10.361015,0
CPV,13.2983055,7.5978336,5.705889,5
CRI,13.279975,7.1555195,6.358104,6
DMA,13.2092905,8.325653,5.566044,5
DOM,14.232228,5.7705536,8.02496,2
DZA,16.507038,4.1938734,9.666695,4
ECU,15.762408,3.4627583,8.749694,3
EGY,16.654797,3.1302352,9.187542,4
FJI,13.776778,8.305072,5.2649245,1
GAB,17.764332,5.2637944,10.175738,0
GHA,15.553244,3.7468069,8.787893,3
GMB,17.502773,4.8054385,10.198026,0
GNQ,15.387007,4.0758953,8.876698,3
GRD,13.117822,8.81464,5.5121627,1
GTM,15.695398,4.640532,9.276581,3
HKG,13.153828,6.408357,7.491869,2
HND,15.795512,3.2312257,8.624826,3
HTI,12.730549,6.5861917,6.911216,6
IND,12.921459,6.1608963,7.475571,2
IRN,16.835718,3.357514,9.511089,4
JAM,16.184597,4.3478317,9.548375,4
JOR,14.499214,5.4309244,8.286276,2
KEN,18.138866,3.872188,10.590366,0
KNA,12.886175,7.0252256,6.6851354,6
KOR,15.223516,4.2146883,8.745055,3
KWT,13.026205,8.140644,5.8868847,5
LBY,14.763892,5.098405,8.540233,3
LCA,13.572609,8.757128,5.007601,1
LKA,12.964586,6.7946205,7.030391,6
LSO,13.337226,6.4346414,7.538063,2
MAR,15.35806,4.5382757,9.022014,3
MDG,15.509162,4.4861674,9.134115,3
MDV,13.195611,7.7197495,5.6547184,5
MEX,18.037348,4.576894,10.287741,0
MMR,14.232982,5.452254,8.078324,2
MRT,15.265298,5.256842,8.985096,3
MUS,13.670753,8.856171,5.112414,1
MWI,18.483614,4.165387,10.59619,0
MYS,17.00293,4.0895762,9.904338,4
NER,17.00134,3.059511,9.288596,4
NGA,18.095844,4.1922956,10.357637,0
NPL,16.481077,3.2759311,9.381611,4
PAK,18.400507,4.3912473,10.697963,0
PAN,14.215086,8.800732,5.6079197,1
PER,17.387178,4.4088025,10.1131315,0
PHL,18.618025,4.309085,10.808288,0
PNG,14.89581,4.010882,8.233338,3
PRY,14.29196,5.705166,8.089735,2
QAT,13.76415,7.65482,5.525685,5
RWA,16.03878,3.1975255,8.8535795,3
SAU,17.471298,3.6027968,9.931169,4
SEN,14.827634,4.8120766,8.570894,3
SGP,13.359497,6.095139,7.657703,2
SLB,13.412474,7.773978,5.091451,5
SLV,13.594764,7.753926,5.341661,5
SUR,12.794442,6.948425,6.7522926,6
SWZ,12.912599,5.939246,7.3603597,2
SYC,13.859518,8.477098,5.055621,1
SYR,16.307722,3.814926,9.461322,4
TCD,16.765135,3.4124587,9.265668,4
TGO,17.140032,4.280973,10.182334,0
THA,15.455829,3.7980072,8.721949,3
TON,12.80368,7.394054,6.455234,6
TTO,13.373923,8.094909,4.975854,5
TUN,17.79088,4.9000874,10.335295,0
TUR,15.118453,3.834258,8.424292,3
TZA,15.686968,3.3714638,8.521826,3
URY,13.154593,6.146294,7.113224,2
USA,18.179983,4.1263256,10.650407,0
VCT,13.536843,8.517563,5.1801705,1
VUT,13.600472,8.123752,5.073294,5
WSM,13.370344,8.830618,5.634864,1
ZAF,16.903948,3.6350484,9.649551,4
ZMB,16.341665,3.0507455,8.964308,3
