Country,Best Alpha,Population_Coeff,Inflation_Coeff,Import_Coeff,Export_Coeff,Test_Score,Export_GDP_Correlation
ABW,0.01,0.0002443809587302144,-0.005491902069298956,0.00036620765229673644,-0.00016358909433783904,-0.3613234405533059,0.2899102400609205
AGO,1.0,0.002709926827896976,-0.00021713315101609193,0.023865392212743378,0.02430104010664649,0.9552281405103553,0.967478084188527
ALB,0.01,-9.86627073931994e-05,-0.0018782576737517815,0.004035384035581209,5.582863023747455e-06,0.9821501650057448,0.9455737218132383
ARM,0.1,-1.747978098901756e-05,-0.00036491615395350946,0.003067235489471462,0.0008790256005534969,0.948577778490668,0.8976350094450789
ATG,5.0,2.6149215683966582e-08,-9.826303172979434e-08,0.00017139936237143663,-3.658303750614991e-05,0.4152654347635516,-0.08823778145641689
AUS,0.5,0.01311651431652948,-0.00202653982498456,0.40788896277753744,0.17225156055454383,0.9533954288193418,0.9730520241612567
AUT,1.0,0.00040605469787721125,-0.0003142992259665583,0.09689948196309561,0.03567830024261578,0.9517921024668252,0.9801789757526188
AZE,1.0,8.838397074222082e-05,-0.0004866677138607805,0.009314989692871171,0.020777623376062947,0.8996221630379914,0.9541781955630184
BDI,1.0,2.9202030413108883e-05,-1.1861054201622998e-05,0.0007684631295380929,0.00019336915102141633,0.8972450551874734,0.733186936351221
BEL,1.0,0.0009909157399478987,-0.0005483092866210595,0.12230821837869908,0.044816195123004776,0.9439261879303373,0.9838792692311863
BEN,1.0,0.00014946896423742828,-0.00013921807167865103,0.0031676510505864917,0.0007302683603496844,0.9021950054891166,0.9424998190841863
BFA,0.01,0.008378268175232345,-0.0021124036116510893,0.0026315463896740866,0.003396114950225899,0.9483818381064149,0.9652707058506597
BGD,0.01,-0.03374759188299384,-0.05487385695075034,0.12116053365793757,-0.09292815439454202,0.760979652418194,0.9433837856464403
BGR,0.01,-0.0025843068724602245,-0.0006590214755689813,0.011766526140638788,0.01982324663012621,0.9500799044518641,0.980219920854988
BHR,0.01,0.00741594235252906,-0.01701226280279803,0.008332523559048568,0.015543420381100842,0.9087149139830173,0.9567547015697285
BHS,0.01,0.0007972321441164307,-0.010752181308516684,0.00434366153080807,-0.0026824996192539373,0.8045000674475605,-0.5720044267694735
BLR,5.0,-3.359023389918642e-05,-0.0019449914879154121,0.013830222559377506,0.004869250642795971,0.9290624751932908,0.9614819589323298
BLZ,0.1,3.4792266469490673e-06,-5.70637058533611e-05,0.0009090407047349683,-0.00011456125016838028,0.9766745242247935,0.9050674199456396
BOL,0.01,0.01171458329719796,2.7278439500531196e-05,0.01820999171616039,-0.01168753735102243,0.9787824420231526,0.9242033923078328
BRA,10.0,0.08650365595966672,-0.025667368376916137,0.4573936793506913,0.16656298157950944,0.8518762715168038,0.947861765030501
BRB,1.0,5.189749605581836e-07,-5.636385373929669e-05,0.0017734550808169466,0.0005295891034353166,0.8471139789182699,0.8279296806413537
BRN,50.0,7.058542491722375e-07,-1.377753855754071e-06,0.0010034697402137463,0.0007144137324429762,0.505197907844864,0.9616105765492696
BTN,0.01,3.1479219461868486e-05,-0.0010563665423371238,0.0008245040581425184,0.00025741578897106035,0.969665382009683,0.9459017676228564
BWA,0.01,0.00421196635789339,-0.008833790595749928,0.003468638407688052,0.006183575187995757,0.9036478449253378,0.9453759808655647
CAF,0.01,0.000975744551573588,-0.0007092484604562356,0.00037865107981747254,0.000359445701677808,0.8554944915984963,0.42139416270840485
CAN,1.0,0.022267181558404573,-0.0006943151057337873,0.5834308877120141,0.1843223482905954,0.9978369109253411,0.9714250370163526
CHL,0.01,0.13251538346580163,-0.060643987773839,0.07016311190868015,0.033419312955476815,0.9878544499795425,0.9755726340055418
CHN,0.01,-0.5240915742843099,0.7231278497033629,0.3261376204152415,12.798499887726857,0.8220072711245079,0.9773639951401629
CIV,0.01,0.07861388030814793,-0.014181224194915838,0.010305976414669208,0.01014080293000319,0.9242534795025996,0.9441421184079833
CMR,0.01,0.08426816291667179,-0.015368730681017802,0.009554596532478874,-0.005775294410774102,0.9200526711648542,0.8605522433563914
COD,0.01,0.0034121020548467003,-2.2032869982885504e-05,0.005688390038830394,0.020816073949437325,0.9561081047195766,0.9352669422684351
COG,1.0,0.00035833670244978644,-5.450788520807894e-05,0.0023583983464254615,0.007103669630056893,0.7767553220317063,0.9098164299111134
COL,0.01,0.11736142198425438,-0.018225258107775734,0.08057040526031242,0.07663819039606319,0.9879614957749437,0.9799932358705477
CPV,5.0,2.268847070018321e-07,-3.266210931304354e-06,0.0005061374909972988,0.00017603866528184613,0.9765974276445872,0.9249018888568601
CRI,0.5,0.00016191811858718967,-0.001032947997435268,0.016964841029145555,0.007100082965749726,0.8594639524731875,0.9392693833190804
CYP,1.0,1.69675459395548e-05,-4.724487416948685e-05,0.007531176462309097,-0.0008807690250482401,0.938793892744986,0.6030705950483515
CZE,0.01,-0.0004458341819220795,-0.022986715729737397,0.09043070743175036,-0.05563627757043421,0.9640781245806945,0.977855168173716
DEU,5.0,9.447809640517417e-05,-6.620826467914262e-05,0.5852917110334819,0.20851539209307615,0.9170120874485764,0.9726337873589469
DJI,0.01,0.00022708695646148097,-0.000327460483306556,0.0007044295983244206,-0.00020293380812555964,0.8345793868698138,0.8432795117044747
DMA,0.01,-2.711862791208164e-07,-0.000432071212965803,0.00017414488673881775,-8.054093446753432e-07,0.9490547048160367,-0.4080548614861296
DNK,1.0,0.00021400122779020764,-0.0002090398039415583,0.08746854919546596,0.033730772629216546,0.9633993239970473,0.9911032064501534
DOM,0.01,0.016229992704845084,-0.02297399724455864,0.018446339004532245,0.0369929378489537,0.9606216268722688,0.929907007235562
DZA,0.01,0.09629404507482242,-0.07750183149054285,0.061172030934836315,0.022376220263053786,0.9637882844271451,0.8550185415714604
ECU,0.01,0.08149014621586063,-0.039885403178061565,0.004269235964413873,0.05782943223908998,0.930897564785173,0.9642139366368242
EGY,0.05,0.18724371255738895,-0.09406614586140886,0.08320957691995544,0.0016572721521850378,0.9274388519771843,0.9255420255420855
ESP,0.1,0.07402421991967222,-0.02384290323196639,0.4309670963696622,-0.05401231812285277,0.9921479241266665,0.9014393887684102
