Country Code,Year,Inflation,Population,GDP,Export,Import
ABW,1960,,54922.0,,,
ABW,1961,,55578.0,,,
ABW,1962,,56320.0,,,
ABW,1963,,57002.0,,,
ABW,1964,,57619.0,,,
ABW,1965,,58190.0,,,
ABW,1966,,58694.0,,,
ABW,1967,,58990.0,,,
ABW,1968,,59069.0,,,
ABW,1969,,59052.0,,,
ABW,1970,,58950.0,,,
ABW,1971,,58781.0,,,
ABW,1972,,58047.0,,,
ABW,1973,,58299.0,,,
ABW,1974,,58349.0,,,
ABW,1975,,58295.0,,,
ABW,1976,,58368.0,,,
ABW,1977,,58580.0,,,
ABW,1978,,58776.0,,,
ABW,1979,,59191.0,,,
ABW,1980,,59909.0,,,
ABW,1981,,60563.0,,,
ABW,1982,,61276.0,,,
ABW,1983,,62228.0,,,
ABW,1984,,62901.0,,,
ABW,1985,4.03225805628628,61728.0,,,
ABW,1986,1.07396640826829,59931.0,1040067813.9812746,105.0227080669,47.4326692655
ABW,1987,3.64304545817706,59159.0,1207294403.7118554,115.5036515338,58.3646750583
ABW,1988,3.12186849610723,59331.0,1432438495.4513192,135.0664273764,83.1509743506
ABW,1989,3.99162804604575,60443.0,1606191000.8575172,101.3492672366,95.5619217108
ABW,1990,5.83668775158166,62753.0,1669818678.849896,123.596991199,132.571550693
ABW,1991,5.55555555555579,65896.0,1802784198.4091408,113.7089664254,118.9001782787
ABW,1992,3.8733753699648,69005.0,1908830345.975868,38.2328993577,122.6065546363
ABW,1993,5.2155599603571,73685.0,2048321812.2332516,54.618427655,131.0110362156
ABW,1994,6.3110797127044,77595.0,2216364111.8743324,52.017550141,134.7188957237
ABW,1995,3.36139107320899,79805.0,2272818090.4319134,408.6593966663,127.7008551758
ABW,1996,3.22528797213979,83021.0,2299768906.2320614,525.7409795016,162.7290183815
ABW,1997,2.99994809778412,86301.0,2461830746.168601,523.1823215149,169.2163491405
ABW,1998,1.86948853615541,88451.0,2510870031.7945056,353.3295922177,121.4145015498
ABW,1999,2.28037198258753,89659.0,2541955653.388158,421.4705838311,159.4317297701
ABW,2000,4.04402131190513,90588.0,2735726915.786389,765.4801086572,206.4605391594
ABW,2001,2.88360430316264,91439.0,2850135060.009999,735.0273763321,189.679228355
ABW,2002,3.31524678585423,92074.0,2823202609.542747,451.3129996311,161.3216186118
ABW,2003,3.65636507938418,93128.0,2854554404.373309,622.4027422578,191.7344254844
ABW,2004,2.52912946932762,95138.0,3062757840.265965,1041.8567332726,287.0431729563
ABW,2005,3.39778677828806,97635.0,3051023261.1758194,1339.6026269054,342.9094580465
