Country,Population_Coeff,Inflation_Coeff,Import_Coeff,Export_Coeff,Cluster_KMeans_Not_Scaled,Cluster_KMeans_with_Scaled
BDI,0.00129309273885,-0.000387715051229,0.0004488003751304,-2.183857390241103e-07,4,0
BFA,0.0190018875501987,-0.0021052552374259,0.0015395766885718,0.0018031676536279,4,0
BGD,0.0759131082339548,-0.0304183038957295,0.0330524670785186,0.0177346835698225,2,3
BHR,0.0069917163498054,-0.0208194127647602,0.0063535066465864,0.0073285677150173,0,1
BHS,0.0002905463764042,-0.0037139873085449,0.0014926661898045,-0.001048423056442,4,0
BLZ,2.030921807559965e-05,-0.0007226885092527,0.0006565805057091,-2.937364133950076e-06,4,0
BOL,0.0283815358558734,-5.290541001887501e-05,0.0111630034783623,-0.008185941565304,0,1
BRB,-2.0924386484917922e-07,-0.0003629501690348,0.0008398039487787,-0.0007065142233411,4,0
BRN,0.0001717335894032,-0.0013333516233509,-3.496967070073542e-05,0.00125954484438,4,0
BTN,8.024659519732936e-05,-0.0015701742725453,0.0006010771882166,0.0001880241731302,4,0
BWA,0.0053772467135779,-0.0106606946543941,0.0014078498897989,0.0065899666348198,4,0
CAF,0.0010822521805564,-0.0005086197373407,9.233721887967e-05,0.0003797996311068,4,0
CIV,0.0819765692240201,-0.0121283445908906,0.0092592335590759,-0.0125367523490065,2,1
CMR,0.0645523463360031,-0.0111205575147544,0.0072105993735652,-0.0116955405027693,2,1
COD,-0.0279154142708908,-2.3267881962999418e-05,-0.0033773602191423,0.0387426415417188,4,3
COL,0.3804530696119781,-0.0453644027432478,0.076308659766137,-0.0740718919446512,1,4
CPV,5.77969272879441e-05,-0.0017793597883847,0.0003558695468598,0.0002630125017308,4,0
CRI,0.0062519168625154,-0.0117898181803307,0.0085027403379535,0.0128246607188872,0,1
DMA,-7.751656327155538e-08,-0.0001933204839939,0.00010233233457,2.5905042032860885e-05,4,0
DOM,0.0232408149590281,-0.0010827576024843,0.0143688462708275,0.0224682581194385,0,3
DZA,0.30227597574294,-0.1005410450584353,0.0225971375230632,-0.0036625270052104,3,2
ECU,0.1195654295874656,-0.0023005146111289,0.0030148781835538,0.0318300853672171,2,3
EGY,0.3841389082581425,-0.0107951859091156,0.017219515367747,0.0199235851090511,1,2
FJI,0.0001863555017684,-0.003011096258257,0.0007802555900032,-0.0003104075529888,4,0
GAB,0.0030070367350265,-0.0019018084146049,0.0029744339769711,-0.0020894606294842,4,0
GHA,0.0913963480303603,-0.0108598772778438,-0.0032167554005398,0.0264279766310134,2,3
GMB,0.0008235010221194,-0.0001914337421926,0.0003121365188272,-5.570314689336978e-05,4,0
GNQ,0.0105587580665809,-0.0010163450818756,0.0007422284738126,0.0046221596895803,4,0
GRD,9.87798381050424e-07,-0.0003052198358967,0.0002288865935219,2.1248525236801643e-05,4,0
GTM,0.0421120986291646,-0.0096826681450988,0.0085341836007544,0.0108587226099491,0,1
HND,0.0114712376998541,0.0052249472983996,0.0028419522512439,0.0063188779286596,4,0
HTI,-0.0028220875248143,-0.0034746915262624,0.0002974685878315,0.0033046361320194,4,0
IRN,0.4707081947910433,-0.0516740702289337,0.0364446147942028,0.0049690507761521,1,2
JAM,0.0018683193160219,0.0010135298281376,0.0012658595963328,0.001257352604177,4,0
JOR,0.0269058575754766,-0.0226697588545629,0.0018220133972356,0.0196013556766546,0,3
KEN,0.1047165481093879,-0.0052648031597179,0.0131884988449019,-0.0199110348414326,2,1
KNA,2.2887879056983885e-07,-0.0002503405304576,0.0001925368738183,0.0002796352456801,4,0
KWT,-0.0021953684585132,-0.0471335950751107,0.0252199970143937,0.0095273182637343,0,1
LBY,0.0210000742690503,-0.0204064080382454,-0.0040946402697087,0.0085071235422545,0,1
LCA,1.0449505337496743e-05,-0.0010894696295924,0.0004218782975968,-0.0001045946458143,4,0
LKA,-0.0036563175339481,-0.0326165851600528,0.0118296779333196,0.0354213295346702,0,3
LSO,0.0003394927575225,-0.0003528028018041,0.0002251052172744,0.0007080481990154,4,0
MAR,0.1278837944827424,-0.0423269631837737,0.0065126705999995,0.0336834744870287,2,3
MDG,0.0083944704430536,-0.002286641040244,0.0007436638334428,0.001920882843715,4,0
MDV,5.365890989547633e-05,-0.002733490618928,0.0008198427443617,0.0004789083959852,4,0
MMR,0.035477154295952,-0.016347377468995,0.0025157585053181,0.035022500451881,0,3
MRT,0.0030679132161303,-0.0025144154054665,0.000938447005863,0.0007101844536688,4,0
MUS,0.0004199466759054,-0.0071108198058556,0.0034485649711617,-0.0008658327453767,4,0
MWI,0.0097991217843426,0.0019243081739412,0.0022303979675094,-0.0014843601570654,4,0
MYS,0.3511357945656224,-0.0623176098009893,0.0616162852827062,0.0025274052579533,1,2
NER,0.0217497021099326,-0.0001624232587698,0.0012957663376375,-0.0001842076078572,4,0
NGA,0.224858319122104,-0.0045474196734281,0.0554012063467475,-0.0317288764819114,3,4
NPL,0.0377209142658492,-0.0036211663646444,0.00284514367464,0.0024930972593257,0,1
PAN,0.0205373426148773,-0.0374744934024009,0.0242945705910005,-0.0207246489254623,0,1
PER,0.08731621686008,-0.0003570745331205,0.033398403077085,0.0105574731986823,2,1
PHL,0.0929568065279079,0.0723090724272063,0.0695517871790741,-0.0353151909929578,2,4
PNG,0.0117106736374615,0.0065735215713403,-0.0002134262399802,0.0135088185511896,4,0
PRY,0.018320757057615,-0.0230400055864509,0.0009736223969253,0.0174104840098147,0,3
RWA,0.0069297614408084,0.0009761748979325,0.0012679952242857,0.0020707615618105,4,0
SEN,0.0157711822010292,-0.0062111158892452,0.0004258420283914,0.0081474489253526,0,1
SLB,0.0001036638595666,-0.0007854811193096,0.000228788725808,5.980783075978906e-05,4,0
SLV,0.0036708301614406,-0.0132693315326291,0.0036197852384575,0.0006236722931262,4,0
SUR,0.000106642171708,-0.0001480524809144,0.0006323770611354,0.0008860879916431,4,0
SWZ,0.0003647856503294,-0.001693759690896,-0.0004907015763815,0.0040189529891262,4,0
SYC,8.575834495785514e-06,-0.0012237744448115,0.0003974546591262,-0.0001761993067556,4,0
SYR,0.044978879090721,-0.0113760275911775,0.0008654722524807,0.0007305878866357,0,1
TCD,0.0199066133003835,-0.0014678049436346,0.0018619989097084,0.0009519145293535,4,0
TGO,0.0064417155800009,-0.0015048899000181,0.0012792350771673,-0.0002617050398768,4,0
TON,6.319263405297906e-07,-1.840825253290606e-05,5.140302040842345e-05,3.778713497891239e-05,4,0
TTO,0.001424175083752,-0.0254207185172653,0.0065430112292557,9.498896176046998e-05,0,1
TUN,0.0302297611290254,-0.0087244404980989,0.0132005391848717,-0.0089839889738633,0,1
TZA,0.0794172795577045,0.0076652649713795,-0.0024190228729909,0.0208961377724295,2,3
URY,0.002552638468058,-0.0201725373577939,-0.003535836708859,0.0369580093909798,0,3
VCT,1.2188457675166443e-06,-0.0004652291993952,0.0001877509907361,-2.9847690926624847e-05,4,0
VUT,2.255809443399749e-05,-0.0005173148110614,0.0001616138384492,7.897727949137695e-06,4,0
WSM,3.213690161383347e-06,-0.0001527875390846,0.0001738266621922,1.758584307458453e-05,4,0
ZAF,0.2734475254839032,-0.0310521954537453,0.0377913528728295,0.0110060221558485,3,2
ZMB,0.0401711096904473,-0.0011739955896937,0.0021256951125249,0.0037064959722874,0,1
