Country,Best Alpha,Best L1 Ratio,Population_Coeff,Inflation_Coeff,Import_Coeff,Export_Coeff,Score,Export_GDP_Correlation
BDI,0.01,0.01,0.0,-0.0,0.0002677183759238635,0.0,0.6843888993099263,0.6644385813093531
BFA,0.01,0.01,0.0,-0.0,0.0028201446718410773,0.0,0.9409912009272524,0.9514620507410276
BGD,0.01,0.01,0.022703530171676294,-0.0,0.03921636461538494,0.016204041006573636,0.9769769204054953,0.9828245154085421
BHR,0.01,0.01,0.0,-0.0,0.00799770585601713,0.0024424577424778274,0.896835532216659,0.9267097749364642
BHS,0.01,0.5,0.0,-0.0,-0.0,-0.0,0.0,-0.676030624999671
BLZ,0.01,0.01,0.0,-0.0,0.00042836729906427847,0.0,0.8335028585357259,0.9045175625279888
BOL,0.01,0.01,0.0,-6.488795679193068e-05,0.007757497516512489,0.0,0.9238482250433513,0.9084615654185887
BRA,0.01,0.01,0.36242410372540534,-0.004449946926813276,0.15158191163900903,0.16799418909164027,0.9727305265237459,0.9675157605340544
BRB,0.01,0.01,0.0,-0.0,0.00038943071036493643,0.0,0.7558012008821184,0.734914474602341
BRN,0.01,0.01,0.0,-0.0,0.00010899531421453786,0.0003800902312780452,0.43559692652546544,0.8006496694084271
BTN,0.01,0.01,0.0,-0.0,0.0005228029163287134,0.0,0.8923321669649827,0.9365622092949419
BWA,0.01,0.01,0.0,-0.0,0.0035301272621451048,0.00014134675899067832,0.8291560404418342,0.9265090120638098
CAF,0.01,0.01,0.0,-0.0,1.7346476813254244e-05,0.0,0.08090572271399321,0.6275559400711597
CHL,0.01,0.01,0.000824403598362724,-0.008716041538940006,0.042338790577640395,0.026434613692442464,0.9186878197246003,0.9535811809691458
CHN,0.1,0.9,0.600983766474462,-0.0,2.666777510148623,0.0,0.9539408605932908,0.9823825862315975
CIV,0.01,0.01,0.0,-0.0,0.009088163583571434,0.0,0.7852581726384853,0.8524117216635402
CMR,0.01,0.01,0.0,-0.0,0.006436312506422099,-0.0,0.7864407145880078,0.7587677098412542
COD,0.05,0.5,0.0,-0.0,0.0,0.0,0.0,0.6942086904726241
COL,0.01,0.05,0.0,-0.0,0.06390683856611808,-0.0,0.9065235337923878,0.8856244555252062
CPV,0.01,0.01,0.0,-0.0,0.0003287597511556471,0.0,0.8706291938275659,0.890749107450125
CRI,0.01,0.01,0.0,-0.0,0.012430817257284102,0.0033471945087618278,0.961249876084836,0.9771364116075755
DMA,0.01,0.01,-0.0,-0.0,0.0,-0.0,0.0,-0.28679901383586764
DOM,0.01,0.01,0.0,0.0,0.017423749590522185,0.00820611541384708,0.9544927344922631,0.9226116692786457
DZA,0.01,0.01,0.0270442124097934,-0.0,0.0382308387089773,-0.0,0.8440420369223377,0.7156441277526088
ECU,0.01,0.01,0.0,-0.0,0.01529345370651899,0.006735019130106078,0.9006753090253588,0.9534669627677469
EGY,0.01,0.01,0.12072420541867554,-0.006001421795787862,0.050233476880679404,0.036153299880127575,0.9320666551233354,0.9237586255908
FJI,0.01,0.01,0.0,-0.0,0.0005531579313303967,0.0,0.8123260698891666,0.8743127164907596
GAB,0.01,0.01,0.0,-0.0,0.0019337223256939181,-0.0,0.7974439739137471,0.6592920107566603
GHA,0.01,0.01,0.0,-0.0,0.005232322781897622,0.01731706097615648,0.9105382738821292,0.9637697457165696
GMB,0.01,0.01,0.0,-0.0,0.00013238747863428022,0.0,0.5444318793166182,0.5227428711579201
GNQ,0.01,0.01,0.0,-0.0,0.0013743148624297753,0.0029932932319736583,0.8432385511321343,0.9185235952655841
GRD,0.01,0.01,0.0,-0.0,5.3103725985410565e-05,-0.0,0.399586373685056,-0.41457425676105386
GTM,0.01,0.01,0.0,-0.0,0.013183366096038762,0.0,0.9640990687053589,0.9794595817552988
HKG,0.01,0.01,0.0,-0.0,0.06318932454215745,0.0260209726300964,0.9703066766303324,0.9884535985953655
HND,0.01,0.01,0.0,0.0,0.0047203896106765425,0.0,0.9560686742961076,0.9777892897882539
HTI,0.01,0.01,0.0,-0.0,0.0012766000245168743,0.0,0.8477800722488904,0.9456862344137774
IND,0.5,0.01,0.18845731700387705,-0.0,0.1529369755655199,0.051056856796862116,0.9205613745573207,0.9593034563068266
IRN,0.01,0.01,0.11717673233850655,0.0,0.06798230994650521,0.007953063632245797,0.8859684169466442,0.8792189589432869
JAM,0.01,0.01,0.0,0.0,0.0014170190773642344,0.0,0.740259228912994,0.8080423950178998
JOR,0.01,0.01,0.0,-0.0,0.008829813464582587,0.002563082752908414,0.9524111694755398,0.9849129050841936
KEN,0.01,0.01,0.0014780519231400442,-0.0,0.015543463272731197,0.001665293848889375,0.9183920825307106,0.9534989432760153
KNA,0.01,0.01,0.0,-0.0,3.5679346040287226e-05,0.0,0.22990520192998176,0.9486248316855891
KOR,0.01,0.01,0.1071775468461801,-0.034793996858193565,0.2880619025514184,0.2100775964433112,0.9301595655733654,0.969204707176002
KWT,0.05,0.01,0.0,-0.0,0.02249966109881221,0.00878048766106362,0.8949339929936201,0.8558748550760503
LBY,0.01,0.01,0.0,-0.0,-0.003408136511963366,0.008137365583514055,0.793284763460662,0.8450229830454105
LCA,0.01,0.01,0.0,-0.0,0.00020711250387695494,0.0,0.6807660925265551,0.5047529272873323
LKA,0.01,0.01,0.0,-0.0,0.020801431183202202,0.009040295567370134,0.958881251440053,0.9793517258400624
LSO,0.01,0.01,0.0,-0.0,0.00036030315591773377,0.0,0.7876875705547048,0.9518221389605167
MAR,0.01,0.01,0.0,-0.0,0.018373792284984817,0.010997789760925747,0.9472521200893254,0.976627215725563
MDG,0.01,0.01,0.0,-0.0,0.0015746140443475532,0.0,0.9348514889253808,0.9637866349955042
MDV,0.01,0.01,0.0,-0.0,0.0008774227548791894,0.0,0.9504644883787396,0.9254076782617069
MEX,0.01,0.01,0.09221083595907383,-0.08549699728854449,0.1644479613871434,0.03412729165407019,0.9681806200851024,0.9716987849090293
MMR,0.01,0.01,0.0,-0.0,0.010155368724594304,0.020541325666542744,0.9684824798365714,0.9929317043790835
MRT,0.01,0.01,0.0,-0.0,0.0011414577720820739,0.0,0.8308174575125957,0.8839262002237575
MUS,0.01,0.01,0.0,-0.0,0.003061002317021295,0.0,0.9387859012325579,0.8909983471289301
MWI,0.01,0.01,0.0,0.0,0.001959628361141446,0.0,0.9324682281851029,0.8437538669245783
MYS,0.01,0.01,0.006854076417264985,-0.0,0.07110864489468362,0.02200522633664626,0.9503123359060841,0.971531988059157
NER,0.01,0.01,0.0,-0.0,0.001976455650162553,0.0,0.8360624107144825,0.8624153783062857
NGA,0.01,0.01,0.1765768585910572,-0.0,0.06476672516147278,-0.023366907729942918,0.9695775284409219,0.7586225589199203
NPL,0.01,0.01,0.0,-0.0,0.003253089205469764,0.0034208358598342013,0.936250337448969,0.8688825807350421
PAK,0.01,0.01,0.08501735779421707,-0.0,0.038286067408021054,0.00522688859723428,0.9771905350866532,0.956121598831212
PAN,0.01,0.01,0.0,-0.0,0.014578727129039943,-0.0,0.9112861732451966,0.9071574082835622
PER,0.01,0.01,0.0,-0.00041883936268063266,0.03532295227839265,0.010991070298566285,0.9593251571006034,0.9681097290658767
PHL,0.1,0.01,0.0007763604476729118,-0.0,0.059910108949813454,0.010875736466137972,0.9442174717297619,0.9396489866217904
PNG,0.01,0.01,0.0,0.0,0.0008161754899392716,0.009237775128639556,0.9118188744338769,0.9790145661147331
PRY,0.01,0.01,0.0,-0.0,0.0063661124674374795,0.0007252796928507929,0.9020474409499141,0.961113974012908
QAT,0.01,0.01,0.0,-0.0,0.044274956331592896,0.013335529641854443,0.9362550886957896,0.8890372638436776
RWA,0.01,0.01,0.0,-0.0,0.00192755218641504,0.0007003554789325458,0.94779580406869,0.9605540485731718
SAU,0.01,1.0,0.0,0.0,0.14585818722108798,0.0,0.8913744112758725,0.8532702469218875
SEN,0.01,0.01,0.0,-0.0,0.0033957135343610826,0.00013675909364974762,0.9194553547225162,0.9780590729529928
SGP,0.01,0.01,0.0,-0.0,0.0666817474906435,0.034067801477618835,0.9372259646441189,0.9724698664009795
SLB,0.01,0.01,0.0,-0.0,0.0001149638833002763,0.0,0.6244472501102576,0.9217534363329805
SLV,0.01,0.01,0.0,-0.0,0.003874109147489614,0.0,0.9530868748866649,0.9625647926177084
SUR,0.01,0.01,0.0,-0.0,0.0008434067588475748,0.0,0.8518714469771511,0.9597414871192386
SWZ,0.01,0.01,0.0,-0.0,0.0006848187155954706,0.0,0.7721520265169511,0.9424595188000291
SYC,0.01,0.01,0.0,-0.0,0.00019069190275318405,0.0,0.7311578061419695,0.910961739350523
SYR,0.05,0.01,0.0,-0.0,0.0012206174843884465,0.0008201211862303834,0.8321695996804468,0.860858572481147
TCD,0.01,0.01,0.0,-0.0,0.002520924804095656,0.0006257757048598055,0.8930017766576607,0.85108771825627
TGO,0.01,0.01,0.0,-0.0,0.0010791998233838254,0.0,0.8040919424254326,0.892129046325129
THA,0.01,0.01,0.04749075165654292,-0.0,0.06767019470486,0.06101242787119987,0.9336119791374737,0.9710469084689322
TON,0.01,0.01,0.0,-0.0,0.0,0.0,0.0,0.6921767710635203
TTO,0.01,0.01,0.0,-0.0,0.006375895656237873,0.0,0.8910841096163391,0.8902028938883573
TUN,0.01,0.01,0.0,-0.0,0.009756407644596166,0.0,0.9196243905512054,0.9493160715437937
TUR,0.01,0.01,0.11568234730030802,0.045832174310583715,0.1002406928827677,0.24854578741689662,0.935725370412623,0.9762885712825509
TZA,0.01,0.01,0.006985573276789359,-0.0,0.006600597436858097,0.015877040182878662,0.8817824155378786,0.9512252482959154
URY,0.01,0.01,0.0,-0.0,0.008871333857278233,0.005058817750285632,0.8994590935012745,0.9638630176453108
USA,0.01,1.0,7.16440111236556,-0.0,1.6095970799836057,-0.0,0.9910275136443017,0.9659126202813242
VCT,0.01,0.01,-0.0,-0.0,0.0,-0.0,0.0,-0.2124202219403904
VUT,0.01,0.01,0.0,-0.0,0.0,0.0,0.0,0.804809959335711
WSM,0.01,0.01,0.0,-0.0,0.0,0.0,0.0,0.16940562847104854
ZAF,0.01,0.01,0.02794988440654749,-0.0,0.04921086470576213,0.021411254225341934,0.9332972256304795,0.9545032622942605
ZMB,0.01,0.01,0.0,-0.0,0.004305959425008617,0.0011683276573222227,0.8790560895948868,0.9305915068956714
